stage,point_type,identifier,target_stage,obj_id,unit_config_name,x,y,z,scenario_indices,source_archive,source_file
ForestWorldHomeStage,stage_change,EX_Mist,FogMountainExStage,obj4580,BazookaElectric,-10600.000,4400.000,-7700.000,1;2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,bonus,ForestWorldBonusStage,obj4924,DokanStageChange,5850.000,4850.000,-8900.000,1;2;3;4;5;6,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Boss_Respawn,,obj7068,PlayerStartObjNoLink,3630.000,12269.357,-20400.000,1,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,EXCloud,ForestWorldCloudBonusExStage,obj2413,ChangeStageArea,4300.000,22000.000,-5100.000,2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,Jyukai004,,obj5922,GrowPlantStartStage,-400.000,2900.000,-15950.000,2;3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,StartPoint,,obj424,ShineGrand,-4350.000,7050.000,-21262.500,3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,RaceStart,,obj6263,PlayerStartObjNoLink,-9900.000,3497.227,-4350.000,3;4,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
ForestWorldHomeStage,stage_change,RaceStart,,obj6237,PlayerStartObjNoLink,-10300.000,3497.227,-5350.000,6,ForestWorldHomeStageMap.szs,ForestWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,StartPoint,,obj4,PlayerActorHakoniwa,700.000,800.000,6350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,LakeWorldMoonEX1a,FrogPoisonExStage,obj752,DokanStageChange,1750.000,1040.000,5550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,LakeWorldMoonEX1b,FrogPoisonExStage,obj753,DokanStageChange,1750.000,800.912,6150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,StartPoint,LakeWorldHomeStage,obj326,ShineGrand,-11200.000,2850.000,-4850.000,1;2;3,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,LakeWorldRacemanStart,,obj849,PlayerStartObjNoLink,-800.000,492.861,3850.000,2;3,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,MoonRock,,obj552,PlayerStartObjNoLink,4400.000,1200.000,-550.000,3,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldHomeStage,stage_change,LakeWorldRacemanStart,,obj855,PlayerStartObjNoLink,-0.000,800.000,6350.000,4,LakeWorldHomeStageMap.szs,LakeWorldHomeStageMap.byml
LakeWorldTownZone,stage_change,CapTrampolineA,TrampolineWallCatchExStage,obj628,ChangeStageArea,-1800.000,2650.000,-5400.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,FastenerEx,FastenerExStage,obj918,ChangeStageArea,-200.000,-3050.000,-4600.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj220,,obj220,CheckpointFlag,1700.000,2340.001,-1700.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj583,,obj583,CheckpointFlag,7000.000,1650.000,4200.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj693,,obj693,CheckpointFlag,-1000.000,-4000.000,0.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj839,,obj839,CheckpointFlag,9200.000,-2150.000,-0.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj1323,,obj1323,CheckpointFlag,9650.000,3950.000,-3150.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,checkpoint,obj1389,,obj1389,CheckpointFlag,-2200.000,-2550.000,-1700.000,0;1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,Come,,obj560,WorldWarpHole,9650.000,3950.000,-2450.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,CapTrampolineB,TrampolineWallCatchExStage,obj632,DokanStageChange,-2650.000,1750.000,-4150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,Go,,obj651,WorldWarpHole,7900.000,850.000,5600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,LakeWorldShop,LakeWorldShopStage,obj1114,DoorWarpStageChange,-4250.000,-2550.000,-2050.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,Goton,GotogotonExStage,obj9900972,DokanStageChange,400.000,-1750.000,3000.000,0;4;5;6;7;8;9;10;11;12;13;14,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LakeWorldTownZone,stage_change,Goton,GotogotonExStage,obj972,ChangeStageArea,400.000,-1850.000,3800.000,1;2;3,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml
LavaWorldHomeStage,stage_change,ForkEX,ForkExStage,obj2867,ChangeStageArea,300.000,750.000,-5500.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,KeyMoveEx,LavaWorldUpDownExStage,obj3133,ChangeStageArea,6400.000,-50.000,9650.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,PechoBubbleEx,LavaWorldBubbleLaneExStage,obj3139,ChangeStageArea,-16400.000,2100.000,-3550.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,MartinCubeEx,LavaWorldExcavationExStage,obj3169,ChangeStageArea,-5050.000,2550.000,-8350.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj642,,obj642,CheckpointFlag,1350.000,2200.000,7750.000,0;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj1061,,obj1061,CheckpointFlag,-17350.000,6450.000,-4650.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj4074,,obj4074,CheckpointFlag,-9550.000,2250.000,-1600.000,0;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj4120,,obj4120,CheckpointFlag,-16581.654,2650.000,-18561.553,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj4619,,obj4619,CheckpointFlag,3600.000,139.698,-900.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj6042,,obj6042,CheckpointFlag,17200.000,8900.000,-19800.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,start,,obj2,PlayerActorHakoniwa,21550.000,200.000,9500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,start,LavaWorldHomeStage,obj1725,ShineGrand,-14350.000,13143.463,6100.000,0;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,KeyMoveExDokan,LavaWorldUpDownExStage,obj3134,DokanStageChange,6400.000,0.000,8750.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,PechoBubbleExDokan,LavaWorldBubbleLaneExStage,obj3140,DokanStageChange,-16400.000,2150.000,-4200.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,BBQExDokan,LavaWorldClockExStage,obj3146,DokanStageChange,-19869.701,2300.000,-12586.501,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,BBQEx,LavaWorldClockExStage,obj3148,DoorAreaChangeCap,-19586.857,2300.000,-12303.658,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,town,LavaBonus1Zone,obj3860,DoorWarpStageChange,-3925.648,2400.000,10174.180,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,shop,LavaWorldShopStage,obj4087,DoorWarpStageChange,-3400.000,2400.000,3700.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,Come,,obj4889,WorldWarpHole,17300.000,8900.000,-20550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,Go,,obj4893,WorldWarpHole,-19996.160,2393.325,-22001.203,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,CostumeEventWorldLava,LavaWorldCostumeStage,obj5522,DoorWarpStageChange,-3400.000,2400.000,5100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,CostumeOut,,obj6388,DokanStageChange,-2750.000,2200.001,5450.000,0;1;2;6;7;9,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,FenceLiftEx,LavaWorldFenceLiftExStage,obj5651,DokanStageChange,18850.000,1700.000,5200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,FenceLiftExdokan,LavaWorldFenceLiftExStage,obj5652,DokanStageChange,19550.000,1700.000,5200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,GabuzouClockEx,GabuzouClockExStage,obj5661,DokanStageChange,-17350.000,6750.000,-2750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,GabuzouClockExdokan,GabuzouClockExStage,obj9905661,DokanStageChange,-17350.000,6750.000,-2750.000,0;1;2;3;4;5;6;8;9;10;11;12;13;14,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj2292,,obj2292,CheckpointFlag,-15500.000,2150.000,8850.000,1;2;6;7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj2549,,obj2549,CheckpointFlag,-100.000,2200.000,13600.000,1;2;6;7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,checkpoint,obj4117,,obj4117,CheckpointFlag,-12450.000,8850.000,10200.000,1;2;6;7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,TreasureEventWorldLava,LavaWorldTreasureStage,obj6280,DoorWarpStageChange,-11500.000,2250.000,-4125.000,1;2;3;6;7;8,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,start,,obj3112,ShineGrand,-9382.353,17660.107,8243.877,2;6;7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,LavaStart,,obj6091,PlayerStartObjNoLink,-12150.000,2422.446,16000.000,3,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,LavaStart,,obj6092,PlayerStartObjNoLink,-10650.000,2150.000,15800.000,6;7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,MoonRock,,obj4881,PlayerStartObjNoLink,13600.000,-100.000,-5650.000,7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,LavaLiftEx,CapAppearLavaLiftExStage,obj5659,DokanStageChange,-3450.000,2150.000,17700.000,7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,LavaLiftExdokan,CapAppearLavaLiftExStage,obj5660,DokanStageChange,-3450.000,2150.000,17300.000,7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
LavaWorldHomeStage,stage_change,GabuzouClockExdokan,GabuzouClockExStage,obj5662,DokanStageChange,-17350.000,6750.000,-3200.000,7,LavaWorldHomeStageMap.szs,LavaWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,aaa,MoonWorldWeddingRoomStage,obj56,ChangeStageArea,-9568.715,5200.000,-31443.609,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,bbb,MoonWorldCaptureParadeStage,obj207,ChangeStageArea,-6936.062,2123.930,-14074.742,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,ccc,MoonWorldCaptureParadeStage,obj208,ChangeStageArea,-5350.000,-7650.000,-12200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,fff,MoonWorldWeddingRoomStage,obj664,ChangeStageArea,-9600.000,10500.000,-31400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,checkpoint,obj127,,obj127,CheckpointFlag,-3450.000,3167.934,-12350.000,0;1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,checkpoint,obj345,,obj345,CheckpointFlag,-4200.000,39.463,7450.000,0;1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,checkpoint,obj1006,,obj1006,CheckpointFlag,-5090.000,-1627.226,-7140.000,0;1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,vvv,TestShirai007Stage,obj703,DokanStageChange,-5900.000,-1546.326,-8250.000,0;1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,dot00,Galaxy2DExStage,obj920,DokanStageChange,17850.000,6226.104,34000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,dot01,Galaxy2DExStage,obj922,DokanStageChange,19000.000,6244.794,34250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,moon,MoonAthleticExStage,obj917,DokanStageChange,-250.000,4393.905,33600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,ggg,MoonWorldSphinxRoom,obj882,ChangeStageArea,-6570.727,-2050.000,-15400.000,1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,ddd,MoonWorldShopRoom,obj889,ChangeStageArea,7382.650,3150.000,29952.707,1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,checkpoint,obj1348,,obj1348,CheckpointFlag,-10600.000,4700.556,-26050.000,1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,MoonWorldRacemanStart,,obj1066,PlayerStartObjNoLink,-5479.073,4696.479,-28200.729,1;2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,MoonRock,,obj144,PlayerStartObjNoLink,6600.000,1358.887,4350.000,2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,moon_exit,MoonAthleticExStage,obj924,DokanStageChange,-250.000,4368.079,34000.000,2,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
MoonWorldHomeStage,stage_change,MoonWorldRacemanStart,,obj1067,PlayerStartObjNoLink,-6598.703,4513.800,-24598.359,4,MoonWorldHomeStageMap.szs,MoonWorldHomeStageMap.byml
PeachWorldCastleStage,stage_change,PeachCastleGate,PeachWorldHomeStage,obj4,ChangeStageArea,0.000,-100.000,2200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldCastleStageMap.szs,PeachWorldCastleStageMap.byml
PeachWorldHomeStage,checkpoint,obj1455,,obj1455,CheckpointFlag,-1700.000,2000.000,20600.000,0;1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,StartPoint,,obj1023,PlayerActorHakoniwa,4100.000,52.796,5300.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,Come,,obj128,WorldWarpHole,-1700.000,2100.000,21800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,Go,,obj753,WorldWarpHole,3200.000,407.969,10500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldEx1a,YoshiCloudExStage,obj816,DokanStageChange,6200.000,700.000,-10000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,CostumeEventWorldPeach,PeachWorldCostumeStage,obj824,DoorWarpStageChange,-1700.000,1600.000,-19050.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,GiantWanderBossA,PeachWorldPictureGiantWanderBossStage,obj1053,DokanStageChange,-8250.000,-3600.000,4845.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,BossRaidA,PeachWorldPictureBossRaidStage,obj2205,DokanStageChange,300.000,1750.000,-13600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,GiantWanderBossB,PeachWorldPictureGiantWanderBossStage,obj2750,DokanStageChange,-7950.000,-3600.000,4845.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,BossRaidB,PeachWorldPictureBossRaidStage,obj2751,DokanStageChange,2700.000,2600.000,-14500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachCastleGate,PeachWorldCastleStage,obj685,ChangeStageArea,-1700.000,2600.000,-12350.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldShopA,PeachWorldShopStage,obj805,ChangeStageArea,6245.710,125.000,554.289,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,BossMagmaA,PeachWorldPictureBossMagmaStage,obj1047,ChangeStageArea,-1385.355,-2100.000,10014.645,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,MofumofuA,PeachWorldPictureMofumofuStage,obj1058,ChangeStageArea,12964.645,1400.000,-7364.645,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,BossKnuckleA,PeachWorldPictureBossKnuckleStage,obj1060,ChangeStageArea,-5885.355,400.000,-3614.645,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,BossForestA,PeachWorldPictureBossForestStage,obj1129,ChangeStageArea,-6450.000,2700.000,-21600.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldEx2a,DotHardExStage,obj1336,ChangeStageArea,-11500.000,-1250.000,-13200.000,1;2;3;4,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,checkpoint,obj162,,obj162,CheckpointFlag,-1700.000,2628.520,-9200.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,checkpoint,obj1143,,obj1143,CheckpointFlag,1200.000,100.000,-22800.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,checkpoint,obj1145,,obj1145,CheckpointFlag,-8250.000,-2300.000,10200.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldEx2a,DotHardExStage,obj1552,DokanStageChange,-12100.000,1500.000,-13200.000,1;2;3;4,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldRacemanStart,,obj1682,PlayerStartObjNoLink,-6862.132,-2330.306,10687.868,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,Fukuwarai2,FukuwaraiMarioStage,obj1759,BazookaElectric,7000.000,895.572,-20750.000,1;2,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
PeachWorldHomeStage,stage_change,PeachWorldRacemanStart,,obj1686,PlayerStartObjNoLink,-8250.000,-2301.000,10400.000,3,PeachWorldHomeStageMap.szs,PeachWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,arijigoku,SandWorldPressExStage,obj179,ChangeStageArea,-8850.000,-4900.000,-21250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,doukutu1,SandWorldKillerExStage,obj510,ChangeStageArea,-32375.000,-1550.000,11700.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,aaa,SandWorldSphinxExStage,obj2542,ChangeStageArea,-2950.000,-2450.000,-29300.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,pyramid01,SandWorldPyramid000Stage,obj2733,ChangeStageArea,-23500.000,-900.000,-26200.000,0;7;8,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,wall,SandWorldMeganeExStage,obj3378,ChangeStageArea,-16600.000,-2900.000,250.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,pyramid04,SandWorldPyramid001Stage,obj3408,ChangeStageArea,-23450.000,3900.000,-23200.000,0;7;8,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,bar2,SandWorldShopStage,obj3657,ChangeStageArea,21567.699,-2600.000,-10216.547,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,hide,SandWorldSecretStage,obj3936,ChangeStageArea,-9700.000,-1850.000,-14400.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj98,,obj98,CheckpointFlag,-3500.000,100.000,-20200.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj99,,obj99,CheckpointFlag,4650.000,-1200.000,-13150.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj525,,obj525,CheckpointFlag,-8500.000,4500.000,-15927.484,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj530,,obj530,CheckpointFlag,-2950.000,200.000,-32800.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj655,,obj655,CheckpointFlag,24200.000,-2331.549,-12850.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj1511,,obj1511,CheckpointFlag,-8800.000,-1350.000,3300.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj1595,,obj1595,CheckpointFlag,-30250.000,-1636.411,12100.002,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj1597,,obj1597,CheckpointFlag,27741.602,-450.000,-31950.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,checkpoint,obj5575,,obj5575,CheckpointFlag,20700.000,5600.000,7150.000,0;1;2;3;4;7;8;9,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
SandWorldHomeStage,stage_change,start2,,obj2,PlayerActorHakoniwa,32900.000,-1150.000,-12700.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,SandWorldHomeStageMap.szs,SandWorldHomeStageMap.byml
